   pc   mr     e        isp
 50.0  1.0  10.0 227.943628
 50.0  1.0  20.0 244.409757
 50.0  1.0  30.0 256.367485
 50.0  1.0  40.0 278.954752
 50.0  1.0  50.0 256.331579
 50.0  1.0  60.0 281.980885
 50.0  1.0  70.0 262.147880
 50.0  1.0  80.0 261.973335
 50.0  1.0  90.0 288.545162
 50.0  1.0 100.0 272.921752
 50.0  2.0  10.0 298.529012
 50.0  2.0  20.0 311.660520
 50.0  2.0  30.0 315.638324
 50.0  2.0  40.0 328.491630
 50.0  2.0  50.0 329.298517
 50.0  2.0  60.0 327.492396
 50.0  2.0  70.0 333.286148
 50.0  2.0  80.0 350.798868
 50.0  2.0  90.0 341.103707
 50.0  2.0 100.0 326.249551
 50.0  3.0  10.0 345.583269
 50.0  3.0  20.0 348.690389
 50.0  3.0  30.0 355.115351
 50.0  3.0  40.0 362.497806
 50.0  3.0  50.0 357.369577
 50.0  3.0  60.0 380.352635
 50.0  3.0  70.0 384.756587
 50.0  3.0  80.0 386.756298
 50.0  3.0  90.0 378.459477
 50.0  3.0 100.0 366.936823
 50.0  4.0  10.0 330.736876
 50.0  4.0  20.0 350.366463
 50.0  4.0  30.0 352.097749
 50.0  4.0  40.0 348.561874
 50.0  4.0  50.0 353.347545
 50.0  4.0  60.0 351.119303
 50.0  4.0  70.0 359.215945
 50.0  4.0  80.0 369.832665
 50.0  4.0  90.0 383.091760
 50.0  4.0 100.0 356.074702
 50.0  5.0  10.0 302.157878
 50.0  5.0  20.0 311.731070
 50.0  5.0  30.0 335.840688
 50.0  5.0  40.0 325.848964
 50.0  5.0  50.0 330.266649
 50.0  5.0  60.0 336.725047
 50.0  5.0  70.0 353.545769
 50.0  5.0  80.0 341.914006
 50.0  5.0  90.0 362.945742
 50.0  5.0 100.0 349.718217
 50.0  6.0  10.0 293.710976
 50.0  6.0  20.0 293.023256
 50.0  6.0  30.0 306.308553
 50.0  6.0  40.0 329.679570
 50.0  6.0  50.0 320.571863
 50.0  6.0  60.0 315.582478
 50.0  6.0  70.0 345.013605
 50.0  6.0  80.0 328.037907
 50.0  6.0  90.0 334.762615
 50.0  6.0 100.0 342.258528
 50.0  7.0  10.0 268.659326
 50.0  7.0  20.0 288.510565
 50.0  7.0  30.0 294.870536
 50.0  7.0  40.0 296.574674
