   pc  mr     e        isp
 50.0 0.5  10.0 210.632614
 50.0 0.5  20.0 221.899454
 50.0 0.5  30.0 227.691305
 50.0 0.5  40.0 231.503655
 50.0 0.5  50.0 234.308629
 50.0 0.5  60.0 236.509208
 50.0 0.5  70.0 238.309482
 50.0 0.5  80.0 239.826416
 50.0 0.5  90.0 241.132979
 50.0 0.5 100.0 242.277603
 50.0 1.0  10.0 241.943628
 50.0 1.0  20.0 255.409757
 50.0 1.0  30.0 262.367485
 50.0 1.0  40.0 266.954752
 50.0 1.0  50.0 270.331579
 50.0 1.0  60.0 272.980885
 50.0 1.0  70.0 275.147880
 50.0 1.0  80.0 276.973335
 50.0 1.0  90.0 278.545162
 50.0 1.0 100.0 279.921752
 50.0 1.5  10.0 268.422653
 50.0 1.5  20.0 281.237627
 50.0 1.5  30.0 287.981194
 50.0 1.5  40.0 292.477107
 50.0 1.5  50.0 295.813570
 50.0 1.5  60.0 298.447784
 50.0 1.5  70.0 300.613512
 50.0 1.5  80.0 302.445721
 50.0 1.5  90.0 304.029109
 50.0 1.5 100.0 305.420179
 50.0 2.0  10.0 306.529012
 50.0 2.0  20.0 318.660520
 50.0 2.0  30.0 324.638324
 50.0 2.0  40.0 328.491630
 50.0 2.0  50.0 331.298517
 50.0 2.0  60.0 333.492396
 50.0 2.0  70.0 335.286148
 50.0 2.0  80.0 336.798868
 50.0 2.0  90.0 338.103707
 50.0 2.0 100.0 339.249551
 50.0 2.5  10.0 325.821514
 50.0 2.5  20.0 340.149970
 50.0 2.5  30.0 347.140566
 50.0 2.5  40.0 351.599973
 50.0 2.5  50.0 354.809235
 50.0 2.5  60.0 357.284833
 50.0 2.5  70.0 359.282858
 50.0 2.5  80.0 360.947607
 50.0 2.5  90.0 362.367833
 50.0 2.5 100.0 363.601742
 50.0 3.0  10.0 330.583269
 50.0 3.0  20.0 347.690389
 50.0 3.0  30.0 356.115351
 50.0 3.0  40.0 361.497806
 50.0 3.0  50.0 365.369577
 50.0 3.0  60.0 368.352635
 50.0 3.0  70.0 370.756587
 50.0 3.0  80.0 372.756298
 50.0 3.0  90.0 374.459477
 50.0 3.0 100.0 375.936823
 50.0 3.5  10.0 325.511085
 50.0 3.5  20.0 344.324784
 50.0 3.5  30.0 354.048673
 50.0 3.5  40.0 360.433889
 50.0 3.5  50.0 365.103795
 50.0 3.5  60.0 368.739232
 50.0 3.5  70.0 371.688493
 50.0 3.5  80.0 374.152701
 50.0 3.5  90.0 376.257893
 50.0 3.5 100.0 378.087537
 50.0 4.0  10.0 317.736876
 50.0 4.0  20.0 336.366463
 50.0 4.0  30.0 346.097749
 50.0 4.0  40.0 352.561874
 50.0 4.0  50.0 357.347545
 50.0 4.0  60.0 361.119303
 50.0 4.0  70.0 364.215945
 50.0 4.0  80.0 366.832665
 50.0 4.0  90.0 369.091760
 50.0 4.0 100.0 371.074702
 50.0 4.5  10.0 310.157014
 50.0 4.5  20.0 328.289710
 50.0 4.5  30.0 337.740136
 50.0 4.5  40.0 344.004384
 50.0 4.5  50.0 348.632457
 50.0 4.5  60.0 352.272499
 50.0 4.5  70.0 355.254856
 50.0 4.5  80.0 357.769808
 50.0 4.5  90.0 359.936549
 50.0 4.5 100.0 361.834471
 50.0 5.0  10.0 303.157878
 50.0 5.0  20.0 320.731070
 50.0 5.0  30.0 329.840688
 50.0 5.0  40.0 335.848964
 50.0 5.0  50.0 340.266649
 50.0 5.0  60.0 343.725047
 50.0 5.0  70.0 346.545769
 50.0 5.0  80.0 348.914006
 50.0 5.0  90.0 350.945742
 50.0 5.0 100.0 352.718217
100.0 0.5  10.0 212.362870
100.0 0.5  20.0 223.673820
100.0 0.5  30.0 229.479906
100.0 0.5  40.0 233.297844
100.0 0.5  50.0 236.104775
100.0 0.5  60.0 238.305491
100.0 0.5  70.0 240.104892
100.0 0.5  80.0 241.620361
100.0 0.5  90.0 242.925096
100.0 0.5 100.0 244.067666
100.0 1.0  10.0 244.074719
100.0 1.0  20.0 257.559838
100.0 1.0  30.0 264.522510
100.0 1.0  40.0 269.111453
100.0 1.0  50.0 272.488772
100.0 1.0  60.0 275.138038
100.0 1.0  70.0 277.304721
100.0 1.0  80.0 279.129712
100.0 1.0  90.0 280.700984
100.0 1.0 100.0 282.076965
100.0 1.5  10.0 269.308089
100.0 1.5  20.0 282.313435
100.0 1.5  30.0 289.140541
100.0 1.5  40.0 293.686164
100.0 1.5  50.0 297.056518
100.0 1.5  60.0 299.715720
100.0 1.5  70.0 301.900843
100.0 1.5  80.0 303.748661
100.0 1.5  90.0 305.344956
100.0 1.5 100.0 306.746925
100.0 2.0  10.0 306.596052
100.0 2.0  20.0 318.715788
100.0 2.0  30.0 324.697948
100.0 2.0  40.0 328.570478
100.0 2.0  50.0 331.405417
100.0 2.0  60.0 333.628324
100.0 2.0  70.0 335.449037
100.0 2.0  80.0 336.985997
100.0 2.0  90.0 338.312529
100.0 2.0 100.0 339.479025
100.0 2.5  10.0 326.406525
100.0 2.5  20.0 340.612615
100.0 2.5  30.0 347.548800
100.0 2.5  40.0 351.974170
100.0 2.5  50.0 355.160233
100.0 2.5  60.0 357.618440
100.0 2.5  70.0 359.602751
100.0 2.5  80.0 361.256291
100.0 2.5  90.0 362.667111
100.0 2.5 100.0 363.892962
100.0 3.0  10.0 332.194296
100.0 3.0  20.0 349.015634
100.0 3.0  30.0 357.290307
100.0 3.0  40.0 362.577444
100.0 3.0  50.0 366.381627
100.0 3.0  60.0 369.313326
100.0 3.0  70.0 371.676395
100.0 3.0  80.0 373.642464
100.0 3.0  90.0 375.317266
100.0 3.0 100.0 376.770208
100.0 3.5  10.0 327.853488
100.0 3.5  20.0 346.595473
100.0 3.5  30.0 356.231982
100.0 3.5  40.0 362.529576
100.0 3.5  50.0 367.117389
100.0 3.5  60.0 370.678772
100.0 3.5  70.0 373.562396
100.0 3.5  80.0 375.968709
100.0 3.5  90.0 378.022727
100.0 3.5 100.0 379.807244
100.0 4.0  10.0 320.117044
100.0 4.0  20.0 338.749366
100.0 4.0  30.0 348.467395
100.0 4.0  40.0 354.915896
100.0 4.0  50.0 359.685928
100.0 4.0  60.0 363.442603
100.0 4.0  70.0 366.524843
100.0 4.0  80.0 369.127839
100.0 4.0  90.0 371.373413
100.0 4.0 100.0 373.344268
100.0 4.5  10.0 312.417153
100.0 4.5  20.0 330.535101
100.0 4.5  30.0 339.958149
100.0 4.5  40.0 346.194089
100.0 4.5  50.0 350.794674
100.0 4.5  60.0 354.408346
100.0 4.5  70.0 357.365440
100.0 4.5  80.0 359.856152
100.0 4.5  90.0 361.999586
100.0 4.5 100.0 363.875054
100.0 5.0  10.0 305.255554
100.0 5.0  20.0 322.778881
100.0 5.0  30.0 331.833495
100.0 5.0  40.0 337.789726
100.0 5.0  50.0 342.158966
100.0 5.0  60.0 345.572344
100.0 5.0  70.0 348.351209
100.0 5.0  80.0 350.680501
100.0 5.0  90.0 352.675974
100.0 5.0 100.0 354.414653
150.0 0.5  10.0 213.343155
150.0 0.5  20.0 224.679384
150.0 0.5  30.0 230.493411
150.0 0.5  40.0 234.314278
150.0 0.5  50.0 237.122037
150.0 0.5  60.0 239.322538
150.0 0.5  70.0 241.121152
150.0 0.5  80.0 242.635499
150.0 0.5  90.0 243.938912
150.0 0.5 100.0 245.080038
150.0 1.0  10.0 245.321913
150.0 1.0  20.0 258.818191
150.0 1.0  30.0 265.783776
150.0 1.0  40.0 270.373690
150.0 1.0  50.0 273.751268
150.0 1.0  60.0 276.400469
150.0 1.0  70.0 278.566920
150.0 1.0  80.0 280.391586
150.0 1.0  90.0 281.962479
150.0 1.0 100.0 283.338048
150.0 1.5  10.0 269.911340
150.0 1.5  20.0 283.021244
150.0 1.5  30.0 289.893621
150.0 1.5  40.0 294.465931
150.0 1.5  50.0 297.854343
150.0 1.5  60.0 300.526775
150.0 1.5  70.0 302.722107
150.0 1.5  80.0 304.578098
150.0 1.5  90.0 306.181120
150.0 1.5 100.0 307.588744
150.0 2.0  10.0 306.626807
150.0 2.0  20.0 318.743334
150.0 2.0  30.0 324.735597
150.0 2.0  40.0 328.629595
150.0 2.0  50.0 331.486886
150.0 2.0  60.0 333.730031
150.0 2.0  70.0 335.568396
150.0 2.0  80.0 337.120712
150.0 2.0  90.0 338.460831
150.0 2.0 100.0 339.639613
150.0 2.5  10.0 326.701322
150.0 2.5  20.0 340.845880
150.0 2.5  30.0 347.754355
150.0 2.5  40.0 352.162940
150.0 2.5  50.0 355.337330
150.0 2.5  60.0 357.786786
150.0 2.5  70.0 359.764194
150.0 2.5  80.0 361.412093
150.0 2.5  90.0 362.818179
150.0 2.5 100.0 364.039975
150.0 3.0  10.0 333.057819
150.0 3.0  20.0 349.720442
150.0 3.0  30.0 357.914582
150.0 3.0  40.0 363.151043
150.0 3.0  50.0 366.919378
150.0 3.0  60.0 369.823859
150.0 3.0  70.0 372.165269
150.0 3.0  80.0 374.113517
150.0 3.0  90.0 375.773286
150.0 3.0 100.0 377.213301
150.0 3.5  10.0 329.190130
150.0 3.5  20.0 347.875583
150.0 3.5  30.0 357.449089
150.0 3.5  40.0 363.687380
150.0 3.5  50.0 368.222875
150.0 3.5  60.0 371.739261
150.0 3.5  70.0 374.584327
150.0 3.5  80.0 376.957400
150.0 3.5  90.0 378.982496
150.0 3.5 100.0 380.741592
150.0 4.0  10.0 321.489908
150.0 4.0  20.0 340.119996
150.0 4.0  30.0 349.827749
150.0 4.0  40.0 356.265161
150.0 4.0  50.0 361.024425
150.0 4.0  60.0 364.770874
150.0 4.0  70.0 367.843442
150.0 4.0  80.0 370.437280
150.0 4.0  90.0 372.674587
150.0 4.0 100.0 374.636730
150.0 4.5  10.0 313.716598
150.0 4.5  20.0 331.820424
150.0 4.5  30.0 341.223483
150.0 4.5  40.0 347.439582
150.0 4.5  50.0 352.021223
150.0 4.5  60.0 355.616909
150.0 4.5  70.0 358.556901
150.0 4.5  80.0 361.031312
150.0 4.5  90.0 363.159173
150.0 4.5 100.0 365.019733
150.0 5.0  10.0 306.453431
150.0 5.0  20.0 323.939599
150.0 5.0  30.0 332.956355
150.0 5.0  40.0 338.877758
150.0 5.0  50.0 343.215234
150.0 5.0  60.0 346.599634
150.0 5.0  70.0 349.352022
150.0 5.0  80.0 351.657081
150.0 5.0  90.0 353.630331
150.0 5.0 100.0 355.348588
